C,principal_components,gamma,probablity,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
100,150,auto,False,1.0,1.0,0.574,0.57,0.426
100,150,scale,False,0.998,0.998,0.503,0.507,0.495
100,200,auto,False,1.0,1.0,0.573,0.572,0.427
100,200,scale,False,0.999,0.999,0.511,0.516,0.488
100,250,auto,False,1.0,1.0,0.569,0.569,0.431
100,250,scale,False,1.0,1.0,0.518,0.522,0.482
100,300,auto,False,1.0,1.0,0.561,0.563,0.439
100,300,scale,False,1.0,1.0,0.527,0.531,0.473
100,350,auto,False,1.0,1.0,0.556,0.559,0.444
100,350,scale,False,1.0,1.0,0.529,0.534,0.471
100,400,auto,False,1.0,1.0,0.554,0.558,0.446
100,400,scale,False,1.0,1.0,0.539,0.543,0.461
100,450,auto,False,1.0,1.0,0.548,0.552,0.452
100,450,scale,False,1.0,1.0,0.539,0.544,0.461
100,500,auto,False,1.0,1.0,0.543,0.547,0.457
100,500,scale,False,1.0,1.0,0.539,0.544,0.461
120,150,auto,False,1.0,1.0,0.574,0.57,0.426
120,150,scale,False,0.999,0.999,0.503,0.506,0.496
120,200,auto,False,1.0,1.0,0.573,0.572,0.427
120,200,scale,False,1.0,1.0,0.512,0.516,0.488
120,250,auto,False,1.0,1.0,0.569,0.569,0.431
120,250,scale,False,1.0,1.0,0.519,0.523,0.481
120,300,auto,False,1.0,1.0,0.561,0.563,0.439
120,300,scale,False,1.0,1.0,0.527,0.532,0.473
120,350,auto,False,1.0,1.0,0.556,0.559,0.444
120,350,scale,False,1.0,1.0,0.53,0.535,0.47
120,400,auto,False,1.0,1.0,0.554,0.558,0.446
120,400,scale,False,1.0,1.0,0.539,0.543,0.461
120,450,auto,False,1.0,1.0,0.548,0.552,0.452
120,450,scale,False,1.0,1.0,0.539,0.543,0.461
120,500,auto,False,1.0,1.0,0.544,0.548,0.456
120,500,scale,False,1.0,1.0,0.54,0.544,0.46
140,150,auto,False,1.0,1.0,0.574,0.57,0.426
140,150,scale,False,0.999,0.999,0.504,0.507,0.495
140,200,auto,False,1.0,1.0,0.573,0.572,0.427
140,200,scale,False,1.0,1.0,0.513,0.517,0.487
140,250,auto,False,1.0,1.0,0.569,0.569,0.431
140,250,scale,False,1.0,1.0,0.52,0.523,0.48
140,300,auto,False,1.0,1.0,0.561,0.563,0.439
140,300,scale,False,1.0,1.0,0.528,0.532,0.472
140,350,auto,False,1.0,1.0,0.556,0.559,0.444
140,350,scale,False,1.0,1.0,0.53,0.535,0.47
